Kalamang_Sentence,English_Translation
Jikri kataperor potma reba.,Jikri is cutting a catapult.
Bobi mu bo katawenggawuorma reba.,Bobi and family are gone to cut down a forest breadfruit.
Makassarsontum kaulat wuorma.,A Makassarese cut down a betel palm.
Kawul me Gowiena reidak.,There are many betel palms at Gowien.
Sar oskeit me kawalawalan me reidak.,At Sar beach there are many kawalawalan trees.
Tomi emun wiendeirta kawaramat ramie.,Tomi's mother caught a triggerfish while linefishing.
Binkur esun me sadawaun se kawarcie.,Binkur's father's machete broke.
Kawarsuop yar nerunggo.,There's an eel in the stone.
Kalamang esun mu walorkawat reitkon.,Kalamang's father's family have one hundred coconut leaf stems.
Rustam ma waruotkin ba ma narasa kawes.,Rustam wanted to bathe but he feld cold.
Nazuwa emun melalu dodonkawetkawet reba.,Nazuwa's mother sits folding clothes.
Go lalangda Sakina melalu kadenunat kawiawi.,"It was hot, Sakina sat fanning her body."
Afdal kawier koetuare jietkin.,Afdal cried to buy a hat.
Sontum kawirten hari minggu gerejao nasumbiyan.,Christians worship at the church on Sunday.
Nostal wiekawotma reba.,Nostal is peeling a mango tree.
Nabil emun mu kawuokjie bubirkuarte di tumtumgin.,Nabil's mother and friends buy beans to cook porridge to give to the kids.
Gani mu gous repte kayakat paruotkin deba.,"Gani and family get bamboo, they want to make a bamboo wall."
Kedederet Sakina mu lenggalenggaunat na.,A black bird at Sakina's family's chilli.
Ma kahalonggein potma reba.,He is cutting a spear handle.
Keirkeir reidak.,There are many lorikeets.
Pasa me keirun tok kangguar.,The top of the rice is still undercooked.
"Keit, keit, keit, suagi kibisko laur.","Go landwards, landwards, landwards, tuna are moving at the landside."
Kai me keit owatko.,There is firewood up there.
Keitar me kalis ur.,The day before yesterday it rained.
An se sor met disara keitko.,I put the fish up there.
Tumtum sara rorkeitko.,The kids climbed to the top of the tree.
An keitpisia min.,I sleep with my face up (i.e. on my back).
Ma keleng nenenun mambon.,He has hair in his armpit.
Kelkam elauna patin.,The earlobe is wounded.
Aya Tok me pi mat gerkeret me kelkamun toktok.,"Aya Tok, if we as him, he's deaf."
Alif me kelkam posun ning.,Alif has earache.
An keluan ma toni sor saerak.,I heard him say there is no fish.
Keluer warkin kararakte ma gare.,If it's low tide the crab crawls.
Kemana me kapubaten giarten.,Kaimana is a new regency.
Kemanurpak me pi Pakpaka boet me ureren.,If we go to Fakfak in west wind season there are big waves.
Rustam taraun toni kadenun kememe.,Rustam's grandmother said she has a weak body.
Kerar me leng wilaun me reidak.,There are many turtles infront of the village.
"Yuon sarara, kerkap.","The sun comes up, it's red."
Kerker aremun kon Masko.,There is a big kerker tree at Mas.
Lampur kewe ma me leng kerunggo.,The electricity building is above the village.
Safril esun me - an mat gongunget me ketan.,Safril's father - I call him parent in law.
Dela mu Pakpakara ketelesjie.,Dela and family bought maize from Fakfak.
Wise me mu kewara sabur.,"Before, they wore loin cloths."
Kewe me he rouk.,The house has collapsed.
Mu bo kewe padenwuorma reba.,They go cut house posts.
Ki tamanggara bot?,Where are you going?
Desili koyet an koi panggutki tenaunat tawara.,"After planing, I use the panggut to chop the keel."
Kiaran se luk.,My wife has come.
Ka kiar kolakara era?,Did your wife go up the mountain?
An sanggara ba kibi saerak.,I looked but there were no sea cucumbers.
Kibibal saerak.,There are no weight watchers.
Kibis me yar.,At the mainland there are stones.
"Go lalang, pi kieun elaunggo melelu ur jiejie.","It's hot, we go look for wind in the shade."
Alun mu kielmarok teba.,Alun and his friends are catching prawns.
Kiem ma me se ten.,That basket is old.
An Buranat kiempanait pitisat.,I send money to Burhan.
Kier tamanggara botkin?,Where are you two going?
Wat arkon ma me kier metko.,In that coconut there is a wasp.
Abdula esun mu etkies teba.,Abdula's father and family are carving a canoe.
Nina kacang gorengkies teba.,Grandmother is packaging fried peanuts.
Ramina emun pasa baranggapkies.,Ramina's mother is wrapping yellow rice.
Wer me kies koladok me reidak.,At Wer there are many Colocassia's.
Bal kiet me Kiaba me reidak.,There is a lot of dog poop at Kiaba.
Som yumene me kietpaun ning.,That person has an ill large intestine.
Ma kietpoun gawarunǃ,His fart stinks!
Dela esun se koi kion. Kieun caun Tuti emun.,Dela's father married again. His second wife is Tuti's mother.
Kilibobang me Masko reidak.,There are many butterflyfish at Mas.
Wat kin reidak.,We have many coconuts.
In muap Tami mukin keweo.,We eat at Tami's.
Et sabarkin.,The front of the canoe.
An kona ma rouin deba.,I think he is falling over.
Wiseme Ayah Ludin esun kinggir Kamburga bara.,"Before, Ayah Ludin's father sailed to Kambur."
Sakina emun yongsongat bisa kinkin.,Sakina's mother can sail a motor boat.
Bobi emun kokoun reidak ba tok kinkinun.,"Bobi's mother has many chickens, but they are still small."
Kinkinun opa me he sararet.,That small one already went up.
Kip Unyil kokounat kokarap.,A snake circles Unyil's chicken.
An sor sira ba kipkip reidak.,I am salting fish but there are many larvae.
Om Nostal me kir.,Uncle Nostal is greedy.
Davit emun watkir.,Davit's mother is grating coconut.
Bal yumene kirkangkangunsaet.,That dog is all skin and bones.
Binkur esun kirun ning.,Binkur's father's flank hurts.
"Kisileng se bo barsi, eba welenggap.","The sky is brightening, then it will be blue."
Mier waranggeit koar teba.,They two are diving for red cluster whip.
Ma Tanggorko.,He was at Tanggor.
Sikan ma me pang met kobelen.,The cat licked that pan.
"Abdula emun mu borara, in epka, muat kobes.","Abdula's mother and family went in the front, we in the back, (but) we reached them."
"Rifai emun me tumunun kodak, Rifai mautak.","Rifai's mother has only one child, Rifai alone."
Inier Bakri emunbon muapta an koi kodertaet.,"Me and Bakri's mother were eating, I added again."
Mei Bakri esunat kodi.,Mei called Bakri's father.
Tumun yumene don penpenara keecuan.,That child is crying for candy.
Mena tagurpaet me koep se bo lele.,When it's east wind season the ashes fly off.
Tumtum Sakina mu pasaromunat parua mu muat koewat.,"The childen are picking Sakina's family's ambarella's, they are angry at them."
Bobi emunbon Kiba emunbon mu melalu kofirna.,Bobi's mother and Kiba's mother sit drinking coffee.
An kier yuara kokiem.,I'm running away from this wasp.
Unyil esun korun neingda kaiat kokis.,"Unyil's father's foot is hurt, he wraped it."
Kalis urta pi lenggonat komera kokir.,When it rains we can see the other island close-by.
Kokoak kapuk pusunara na.,The helmeted friarbird eats from the kapok flower.
Rustam mu kokok iriskapten me reidak.,Rustam and his family have many white chickens.
Sara me kokok narun sanggare kai waruotkin.,Sara is looking for a chicken egg to make medicine.
"Alun esun mu wat parinunat yapta, tok kokour.","Alun's father and family are dividing the coconut revenue, but it's not enough."
Tuti mu bo keleka ra sayangsara.,Tuti and family go to the mountain to harvest nutmeg.
Nadia esun mu bo kolak owatkoa etkies.,Nadia's father and family go to the mainland overther to cut a canoe.
Rumasakitka mu kolambuat yap.,They hand out mosquito nets from the hospital.
Ma me sontum kolet.,He is a stranger.
Ma sontum kolgara luk.,She came from outside.
Davit emun me kolkiemun ning.,Davit's mother's thigh hurts.
Bilal esun et me di kolko.,Bilal's father is putting his canoe out.
Bobi emun bo warta nikaun kolkol.,"Bobi's mother went fishing, her fishing line was entangled."
Mama leba bo linggisrepte minggi paku koloin.,Uncle imam went to get a tool to pull out nails with.
Nabil emun inier melalu ba ma namanghadawi kolpis.,Me and Nabil's mother sat chatting but she was facing another place.
Jikri mu bo warta koltenteng etkoni ramie.,Jikri and his friends went fishing and caught one koltengteng fish.
Tami esun bo warta doromat koni koluk.,Tami's father went fishing and found a barrel.
Unyil mu didirasun balakangun me kom mambon.,At Unyil's family's back of the kitchen there is sugarcane.
"Camat mu lukta, in arep neko komahal.","Camat and family came, we in the bay didn't know."
In bo robaherkiemda Irjan esun kamelat etkoni komain.,"We went to bathe for robaher holiday, Irjan's father stabbed a stingray."
Kecaun dan lalangun komain.,Its kecap and its spicyness are just right.
Kalamang kokoat kinkinda ma koi komamun.,"Kalamang is holding a chicken, then he slips it."
Banda me komangun ning.,Banda has a sore throat.
Nyong emun mu tok keweunat komanggangguop.,Nyong's mother and family are closing the roof of their house.
Binkur esun komanggasirun ning.,Binkur's father neckbone hurts.
Esnem desa mu amdirunat komaruk arepneko.,The village head's family are burning their garden inside the bay.
Rustam taraun mu tong sangganunat komasasuk.,Rustam's grandmother and family closed the lid of the barrel.
"In melalu garungda, Bobi emun salai garungda, in mat komayeki.","We sat chatting, Bobi's mother said something wrong, we laughed at her."
Canam tumununat komet.,The man looks at his child.
Motor kon lukta Onin emun bo komet.,"A motor boat is coming, Onin's mother goes to look."
Lampur belek met komelekte!,Go burn that lamp in a can!
Nina Im taraun me kumiriun arkon Nina Tanggiunggo.,Im' s grandmother has one candlenut at Nina Tanggiun.
An kiat misternin.,I don't have problems with them.
Mustafa esun amdirun Kamberarkadok me komkomur reidak.,Mustafa's father's garden at Kamberar has a lot of cucumbers.
Salima esun mu fiberun kon.,Salima's father's family has one fibre boat.
Luasun me mungkin meter apkon.,Its width is maybe five metres.
"Fiber eira metko, kon tama Dian taraunkin? Kon kerkapten.","There are two fibre boats there, which one is Dian's grandfather's? The red one."
An kona in baratnin.,I think we don't come down.
Kiba esun kona motor kon metko war.,Kiba's father sees a motor boat fishing there.
An weleanat mukonggo nawaruon.,I forgot my vegetables at their place.
Faris korun patinda kaiat metko konawol.,"Faris hurt his foot, he stuck medicine onto it."
Fatima emun sominda ma mat konenen.,"Fatima's mother died, she remembers her."
An weleat maonggara jie.,A got vegetables from her place.
Ikoni an se parair mungkin etpurirkonggap ye.,"Some I chop up, maybe twenty pieces or so."
Dian emun Binkur esunat pergi konggareor.,Dian's mother went to pour water on Binkur's father.
Lusi etkon bara sorat konggelem.,An eagle came down and caught a fish.
Mu tok osie Usinona taraun mukonggo.,They rested at Usinona's grandparent's.
Irjan esun bo masura ma konyak etkoni komain.,"Irjan's father went night-fishing, he stabbed one squid."
Nabil gula-gula karerat nara ma ladanunggo kopol.,Nabil ate a chewing gum and stuck it to his shirt.
Korcara ning.,Your leg hurts.
Yasin esun me Bakri emun me korapmur.,Yasin's father and Bakir's mother are cross-cousins.
Urkia me korel patin.,Urkia's footsole is wounded.
Onin emun korgi marmar teba.,Onin's mother is walking.
Kor kancing wa me an tur teba ma patin.,"My ankle bone, I fell and wounded it."
Sila sandal emununat korko.,Sila is wearing her mother's sandals.
Unyil esun me korlausun temun.,Unyil's father has big feet.
Davit emun me kormulun temun.,Davit's mother has big calves.
Kornambi etkon yar keitko melalu.,A sheerwater sits on the stone.
Randa emun sorpotma eba korotrot.,Randa's mother is cutting fish and then makes notches.
Kiba emun korpak neinden ma botnin.,"Kiba's mother's knee hurts, she doesn't go."
Abdula emun korparokparok ning.,Abdula's mothers toes hurt.
Nyong esun kor tanggalip dukta patin.,Nyong's father hit and wounded his toenail.
Dian esun wiat kortaptap.,Dian's father is cutting the stem of the mango.
Suci esun korusun ba patin.,Suci's father's shin is wounded.
An sayang met kawayara ma he kos.,"I planted that nutmeg, it's already growing."
Mayor ror erun met Salima esun fiberunggi kosalir minggi Pakpaka botkin.,"Mayor exchanged his wooden canoe with Salima's father's fibre canoe, he wants to go with that to Fakfak."
"Unyil marmarta emunat kosara, emun tur.",Unyil walked into her mother and her mother fell.
Tumtum melalu sayang kosarun jie reba Pak guru Samkin.,The kids sit peeling teacher Sam's mace.
Pak guru Banda bo sayangkoser teba.,Teacher Banda is going harvesting nutmeg.
In Pakpaka bora in keweat koser.,"We go to Fakfak, we're locking the house."
An ter wat kosiauri ma.,I give him this water.
Tamandi esun mu bo erat kosiauri maruan.,Tamandi's father and family go push the canoe in the sea.
Nabil emun anbon garung ba ma anat kosilep.,Nabil's mother is talking to me but she's turning her back to me.
Binkur esun melalu tabaikosom deba.,Binkur's father sits smoking.
Dian taraun sorkotamde di sara sair.,Dian's grandmother skewers fish and bakes it.
Randa emun sikanat kotarakmang.,Randa's mother startled a cat.
Nabil esun bo wari wari ba kotipol.,Nabil's father went fishing for a long time but didn't catch anything.
Bakri emun mu dodon kotur reidak.,Bakri's mother's family have a lot of laundry.
"Suci emun dinkou, dinun nalatkin.","Suci's mother blows the fire, her fire is about to die out."
Tomi kieunbon Yasin emunbon naulelukta mier naukoup.,Tomi's wife and Yasin's mother meet each other and they hug each other.
Rukmana emun Rukmanat kout.,Rukmana's mother curses Rukmana.
Kowam etkon me sor bir sarara ma nerunggo nauraurar.,A whale is circling bir fish that are jumping.
Tomi emun melalu kiemara kowam.,Tomi's mother sits weaving a basket.
Nina Ruslan taraun sor sairta ma dinat kowaram up.,"Grandmother Ruslan's grandmother bakes fish, she clamps (embers) to kindle the fire."
In kanggaranat kowararan paror kerunggo.,We are making a bamboo floor on the raised platform.
Salima emun Salima ladanunat koni jie ba kowewepkon.,Salima's mother bought Salima a brown shirt.
Nina Ruslan taraun mu keteles kowaya amdirunggo.,Granny Ruslan's grandmother and family planted maize in their garden.
Desi melalu ba Fit mat koyalsawe.,Desi sits but Fit is disturbing her too much.
Dalima muawat di sara meja kerunggo koyen.,Dalima puts the food on the table and covers it.
In pasaun se koyet.,Our rice is finished.
Alun esun watkoyos teba.,Alun's father is climbing a coconut.
Salima pasakuar teba.,Salima is cooking rice.
Nina Ruslan taraun tok kuat.,Granny Ruslan's grandmother is still strong.
Opa saun kuawi bot.,Yesterday night the north wind blew.
Wa me mama tua Ludin emun kubirun.,This is aunt Ludin's mother's grave.
Tat me kubirar reidak.,At Tat there are many graves.
Moktar esun Kueimang deba.,Moktar's father is speaking Kilimala language.
Binkur esun hapeanat casta sontum se kuek.,Binkur's father was charching is phone and people stole it.
Kuk etkon yumetko melalu.,A fruit-dove sits there.
Kul arepneko me he lalat.,The weeping fig in the bay is dead.
Kul epkon me lamut etkorenat na.,A school of kul fish is eating canoe algae.
Ibu guru Ratna namangonda kulikuli kon.,When teacher Ratna married there was one gong.
Kulkabok arkon Kambur oskolko.,There is a kulkabok tree at the edge of Kambur beach.
Sakina bo jambatanggara wienmukta kulpanggat ramie erir.,Sakino went to throw fishing line from the dock and caught two kulpanggat fish.
"In me sayangun reidak kumkum, ge.","We have many male nutmeg trees, don't we."
Muklis emun me pasun goni kon me kupkuwun reidak.,Muklis' mother have sack of rice with many husks.
Abdula esun mu Gowiengga marua kurap kanggeit.,"Abdula's father cambe back from Gowien, a dolphine played."
Arifin kona kurera etkon garegare.,Arifin saw an octopus crawling.
Bakri emun muapsabur kurera reba minggi sanggeran paruotkin.,"Bakri's mother is sieving sago, she wants to make sago."
Ma he mara adiunat kuru marua.,"He went to land, and brought his brother back (seawards)."
Kurua kona yarkeitko mambara sorara jaga.,An ibis is watching fish standing on a stone.
Rukmana mu kus koyal teba.,Rukmana's family are mixing charcoal.
Nonabon Alunbon hukat paruakta labis reidak.,Nona and Alun are throwing fishing line and (caught) many labis fish.
Siti Kelsaba emun mu Tamisengga sara ladanparin.,Siti Kelsaba's mother and family came from Antalisa to sell clothing.
Lajarang watkoet saerak.,There are no horses here.
Rajiba tarauna kadenun lalang.,Rajiba's grandfather has a fever.
Lamora kasamin erir pararuoni owangga bot.,Two cormorants flew over there.
Go girgirta me lampur se yuol.,In the late afternoon the lamps already burn.
An pasieko waruo eba an lamutyuon.,I bathed in the sea and then I scrubbed my skin.
Abdula esun bo langgan potma ba erunat ramietkin.,"Abdula's father goes to cut pieces of wood, then he wants to pull his canoe."
Bilal esun erat mengga ramieni maratkin ba go langgour.,Bilal's father wants to pull the canoe up the shore but the spot is too tight.
Tumtum langka reba.,The kids are fighting.
Sor wa me he lauk.,This fish smells.
Ma marmar bo lengungga lauk.,She walked until her village appeared.
Rifai emun wa ba lauk.,Rifai's mother appears here.
Tami emun perlalangkuar teba ma he laur.,"Tami's mother was boiling hot water, it boiled."
"Ka talalu laursawe, owangga boreǃ","You are to noisy, go over there!"
Jawawas yumene kanggirarun lauskaning bolon.,That Javanese woman has a slightly wide face.
Alun mu sarimat lawalawat.,Alun and his friends are putting guavas in a pouch.
Manado lawanramie reidak.,Manado caught many groupers.
Janiba emun me lawarun me bes.,Janiba's mother's womb has healed.
"Kalkalet anat koraruora, layierta an kaware.","A mosquito bit me, it itched and I scratched."
Leba Pakpaka bot.,The imam went to Fakfak.
Onin esun sayangara lebaleba.,Onin's father is carryin nutmegs.
Faldi bo sayang tangreitkoni bo parin ba lebe tanggaruok.,Faldi went to sell one hundred nutmegs but he had three too many.
Ma rorat lebe.,He's higher than the tree.
Leit pas me sontum Patipi.,The queen is from Patipi.
Lek kandungunat Maskoa paruo.,They are making a goat pen at Mas.
Salima emun kadounat masara ma lele.,Salima's mother was drying her sarong and it flew off.
Dian esun mu distrika bora mu muat lem.,"Dian's father's family go to the mainland, they ordered with them."
Wiseme mu lemara napakire minggi etkies.,Before they used a big-bladed axe to carve canoes.
An lemat jiere sanong gaimkin reba.,I'm getting bamboo string to sew a roof.
Lempuang leng newuaunggo.,The island in front of the village.
An tok lemyar met konatnin.,I haven't seen that stone axe yet.
Leng Kiaba me bal reidak.,In Kiaba there are many dogs.
Leng dekta an narasa.,"There was an earthquake, I felt it."
Mama Jawa Tuti lenggalengga sanggara ba saerak.,Mother Tuti Java is searching for chill but there isn't any.
Rajiba esun mu bo Lenggongga sayangsara.,Rajiba's father and family go to Karas Darat to harvest nutmeg.
Rajiba esun mu bo Lenglengga war.,Rajiba's father and family go fish at Lengleng.
Faisal emun bo warkin ba lepalepa saerak.,Faisal's mother wants to go fishing but there is no wooden canoe.
Nyong esun serie mama Nadia esuna lepir parair.,Nyong's father sends uncle Nadia's father split rafters.
Sontum taruo toni lerang Buruoa mambon.,People say there is white gum at Buru-buru.
"An erat catkin. Kit welenggap, lesun baranggap.","I want to paint the canoe. The top white, the stem yellow."
Kalis ourten me uriap licing.,"It's raining, so the street is slippery."
Pat emun limpotma reba.,Pat's mother cut the umbilical cord.
Randa emun litiat jie.,Randa's mother bought a bracelet.
"Nabil esun fiberunat Nabil taraun mu paningda, ma lo.","Nabil's father asks for the fibre boat from Nabil's grandfather's, he consents."
Binkur esun go dungga karajangi mindi bo lohar.,Binkur's father worked from the morning until midday.
Aprilia maun toni mu he loi boet.,Aprilia's wish is that they go quickly.
"Kewe mul inggon me lolok reidak, afokat olun.","There are many leaves at the side of our house, avocado leaves."
"Unyil loloukruo reba, warumara dankin.",Unyil is digging a hole to bury trash.
Mustafa esun loncing me gosomin.,Mustafa's father's watch has disappeared.
Nina Ruslan taraun lopalopat paruo reba.,Granny Ruslan's grandmother is making a woven envelope.
Tomi emun wienmukta loptengat ramie reba.,Tomi's mother was throwing fishing line and caught a shark.
Pi los kerungga gapurat komet me rasa.,We like to look at the welcome gate from the dock.
Tamandi esun Binkur esunkongga lorat paning.,Tamandi's father asked for sinkers from Binkur's father.
Kamberar me loup arkon metko urapko.,There is a loup tree at the path in Kamberar.
Minuman wa me lu.,This drink is cold.
Tagurep me pasier luam.,On the east side the water is murky.
Safarudin mu Sorongga luk.,Safarudin and family came from Sorong.
Lusi etkon bara sorat jie.,An eagle cam down to catch a fish.
Lusi muaun me Sarko reidak ma ma he sasa.,"There are many lusi muaun trees at Sar, but they are dry."
Ma tamanggara bot?,Where is he going?
An kat nani maoyet.,I'll eat you whole.
"Tumtum eir narasta. Emun toni: ""Ma he me, kimun se narasin.""","Two children fight. Their mother says: ""That's it, don't you fight anymore."""
Maryam ma temun.,Maryam is the firstborn.
Manado bo warta magaripta eba ma luk.,Manado went fishing and came back at sunset.
Sontum mumahap owangga ra rapat.,Everyone went there to meet.
Mariyam me namun Mahem.,Mariyam's husband is from Fakfak.
Kewe ma me main.,That's his house.
Sor wa me mais.,This fish is spoiled.
Tanggor me mal reidak.,There are many rabbitfish at Tanggor.
Tumtum epka wa me malaimangsaet.,The kids these days just speak Indonesian.
In Mustafa esun rewet malamat paruo.,We went to get Mustafa's father to read the Thursday prayers.
Irjan esun fiberunat malaoukte lamutkaware.,Irjan's father turned over his fibre boat to scrape off the algae.
Mat malelinde geǃ,Keep it still already!
Gosaunet me maliap arepnerga mararet me ebon.,In the evening the golden rabbitfish enter the bay in schools.
In erat maling tanbeskinat korotrot.,We moved the canoe on its side to slice the left side.
Malkesi me ram nerunggo reidak.,"Of rabbitfish, there are many in the soft coral."
Burhan me Tami esunat gonggunget me mama.,Burhan calls Tami's father uncle.
Rajiba Riska esunat gonggunget me mama caun.,Rajiba calls Riska's father uncle.
Ruslan ma Nadia esunat gonggunget me mama temun.,Ruslan calls Nadia's father uncle.
Bayu esun et mulko mambaran.,Bayu's father stands next to the canoe.
Rajia emun me warun mambon.,Rajia's mother has coconuts.
Sor mambon ye saerak?,Is there fish or not?
Wiseme Mamikaca kon watko ma ma he bot.,"Before, there was a Mamika/Kokonau person here but he left"
Mamor me Suo me reidak.,At Suo there are many hornbills.
Manadu mu Pakpao parinda tumpuk konde ripi purap.,Taros they sell at Fakfak: one heap fifty thousand (rupiah).
Randa emun kofirat gareorta mang.,Randa's mother served bitter coffee.
Wise me mu nasulaet me malikan mangmanggat napakiet.,"Before, if they danced, they had to use the gong."
"Tami emun mu sorat anda, an tok manggang.","Tami's mother gave me fish, I'm hanging it up first."
Irjan dunun cicaun se garen.,Irjan's little sister already crawls.
Maniktapuri Werneti osaet me mambon.,Up at Werneti there are crowned pigeons.
Et newasta Dian taraun marua manyuor.,Dian's grandfather goes seawards to adjust the stranded canoe.
Onin esun mu keweun sengunara maorek.,Onin's father and family break down their house's roof.
Ngais muapta sor kangun minunggo langgourta muaunat maouk.,"Ngais ate, a fish bone got stuck in her throat, she spit out her food."
Bakri taraun pasa maraok eba na.,"Bakri's grandfather crushes his rice, then eats."
Binkur esun sadawaunat watko maraouk ma koi bo tompat kabasko sanggara.,"Binkur's father stored his machete here, then he went to look (for it) somewhere else."
An erara mararak.,I'm putting the canoe on land.
Nina Ruslan taraun me liti marau kon tanunggo.,Granny Ruslan's grandmother has a golden bracelet on her arm.
Tami emun Tomi kieun Mayor kieun me loska marmar.,"Tami's mother, Tomi's wife and Mayor's wife are walking to the dock."
Bakri emun anat marok ma toni sor saerak ba mambon.,"Bakri's mother fooled me, she said there is no fish but there is."
Alam emun mu distrikara marua.,Alam's mother and family go seawards from the mainland.
Tami emun welemarum deba.,Tami's mother is slicing vegetables.
Nabil marur mat paruo.,Nabil is plagued by mucus.
Mas me osun iriskapte.,Mas has a white beach.
Randa emun mu dodon masa reba.,Randa's mother and family are drying clothes.
Makassarsontum lukte masal narun paruo reba.,A Makassarese came to work with flying fish eggs.
Unyil esun sadawak man masalaboung deba.,Unyil's father is cutting off the end of the machete handle.
Banda wilakara marmari masara.,Banda walks from the sea landwards.
Laka kieun padamualmasarut.,Laka's wife is tearing pandanus leaf.
Rahman masawin mat koraruo.,Rahman was bitten by a centipede.
Kisileng se bo torasunsaet pi komei sara maser reidak.,The sky is very clear; we look up and there are many stars.
Kalis ourta masinul bo kewe nerunggo.,"It rains, dew (damp) comes into the houses."
"Mustafa esun mu Masko gomasir, lek amdirun.","Mustafa's father and friends are weeding at Mas, (at) the goat's garden."
Sungsungan kareun se bo masok.,My pant's rope is tied too tight.
Kadera masoki meiǃ,Shove the chair over here!
Mata sontum mahara.,A person from Fakfak is coming.
Gosaunet me mata dimdim tanisa kerunggo reidak.,In the evening there are many fireflies in the tanisa plant.
Dela esun bo warta matan senara ramie.,Dela's father goes fishing and catches a matan sena fish.
Tamandi Arel sepedaunat matur.,Tamandi caused Arel's bike to fall.
Ladan wa me kainun mawal.,This shirt's cloth is thick.
An minda ur koukoura an narasa mawin.,"I sleep, the wind blows and I feel good."
Tamandi emun sor sirara mayilma.,Tamandi's mother is flipping salted fish.
Ladan me rasa.,That shirt is nice.
Pi wa me soui reba.,"As for us here, we just slide."
Kibiska bo wilaoet me mel puraman?,From the shore to the sea how many miles is it?
Sikan sara Kalamang emun melebor.,A cate came up and Kalamang's mother got rid of it.
Esa desa mu melalu garung.,The village head's family sat chatting.
Mena muat metko nawanggarte.,Later wait for them there.
Suolca he bes? O bes mera.,"Is your back fine again? Oh, of course it is."
Rustam taraun merar kon kanggir pulunggo.,Rustam's grandmother has a mole on her eyelid.
Kiba esun warat Kuea merengguen.,Kiba's father is collecting coconuts at Kuek.
Bobi taraun me mesanun tok saerak.,Bobi's grandfather's gravestone isn't there yet.
Saya sor mesangunat di kolko.,I take away the fish's gills.
Pasa wa me in nara mesang.,This rice tastes like pulp.
Ror tem ma me he metko.,A tree stem is lying there.
Mena pak eir Elinbon esunbon se koi mia.,"Later, in February, Eline and her father come."
An ladananat miabesi paruotkin.,I want to make that many clothes for myself.
Tumun se bo teimun miarip.,The kid has become this big.
Kalis bara tong inggon se bo mikon.,"The rain falls, our barrel is full."
Hawa tumunun se min.,Hawa's child sleeps.
Minan ning.,My liver/adam's apple/throat hurts.
Kalamang emun toni ma perat nanet me minarun ning.,Kalamang's mother says if she drinks water her adam's apple hurts.
Faisal emun me mindi don bolonet me ma he kademor.,"Faisal's mother is like that, if there is a small thing she is mad."
Faisal emun mua mingparin.,Faisal's mother and family sell oil.
Minggalorun me kotur.,His sleeping area is dirty.
Unyil esun me minet me ma he minggaruk.,"Unyil's father, if he sleeps, he snores."
Manado mu he serie Mayor kokok mintolma.,Manado and his family ordered Mayor to slaughter a chicken.
Ladeka tumunun misilmisil kerunggo gare.,Ladeka's child is crawlying on the cement floor.
Suci mok nerunggoa perna.,Suci drinks water from a mug.
Tami esun bo rompunggara momarat goyang.,Tami's father goes to the floating fish lure to shake momar fish (to use as bait).
Nabil esun me fiberun mon.,Nabil's father has a quick fibre boat.
Wie yume tok mor.,That mango is still sour.
An sorat pasor ba an tok mormor.,I fried fish but I still hide it.
Wa me se mosun sayang.,This is nutmeg season.
Mu distrikara marua.,They come from the mainland.
Dalima sara mijie ba Sakina mu tok muap.,Dalima goes up to buy noodles but Sakina and family are still eating.
Kiaba me muap sabur reidak.,At Kiaba there are many sago trees.
Muap sabur kunun bolodak.,There is just a little bit of sago flour.
Muap sabur sangganun me reidak.,There are many sago grubs.
"Mu Randa emun mukonggo muawaruo, rorap teirkinde.","They are cooking at Randa's mother's, they are making a foundation."
Tumtum yargi wiat mudi.,The kids are throwing stones at the mangos.
Tompat ma me muin.,That is their place.
Mu kolaka bore yecie mu he muisese.,"They come back from the mountain, they are hungry."
Mustafa esuna mojin.,Mustafa's father is the muezzin.
Dian taraun bo wienara muk teba.,Dian's grandmother is going to throw a fishing line.
Salima mambara kadenunara muk.,Salima stands rocking her body.
Jikri mu bo sarim mukmuk teba.,Jikri and his friends go rock the guava.
Mulerca ning.,Your waist is ill.
Mulun owanggara ma mara.,He comes from that side.
Sor yume se mun.,This fish is rotten.
Faisal emun mu me mun reidak.,Faisal's mother has many limes.
Sundus kieun me mun reidak.,Sundus' wife has many lice.
Kamun koyalin!,Don't touch!
Anan mun sunsun mambon.,I have nits.
Kalamang esun mu Munak osatko.,Kalamang's father and family are up at Munak.
Moktar mu muninggara bo sayangsara.,Moktar and family went to the west side to harvest nutmeg.
In Parar muninunggo botkin.,We want to go to the westside of Fatar.
Unyil mu munmun owatko.,Unyil and family are searching for fleas over there.
In taramur pangga erare.,We went up to the forefathers' peak.
Muradik tumununa kon.,The imperial pidgeon has one chick.
Lempuang tumun me murkumkum metko amkeit.,On the small island a pigeon laid eggs.
Mursambuk etkon lalat.,An imperion pidgeon died.
Musing me kunun iriskap.,The leopard torpedo has white flesh.
Mustika me watko saerak.,There are no pearl-shells here.
Pi timunat kowarman.,We break off the tips.
Ketanana wa esanana wa.,"This is my parent in law, this is my father."
An kukisara na.,I'm eating cake.
Sikan don met naberuai bara.,The cat is dropping that thing.
"Nabestai bot eh, kirim salam muonggo!","Be careful on your way, greet at home!"
Sontum Utun me muraina kadoat nadadi.,Butonese people weave their own sarongs.
Bayu esun Bayuat nafafat.,Bayu's father slaps Bayu.
Mayor nafikir leng wa me beset.,Mayor thinks this village is good.
